id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,imagePath,manual_label
24050,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Locomotive Men Printed Blue T-shirt,archive/fashion-dataset/images/24050.jpg,0
13967,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Ed Hardy Men Printed Red Tshirts,archive/fashion-dataset/images/13967.jpg,0
4256,Men,Apparel,Topwear,Tshirts,Grey Melange,Summer,2011.0,Casual,Inkfruit Men Grey Melange Printed T-shirt,archive/fashion-dataset/images/4256.jpg,0
50194,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black T-shirt,archive/fashion-dataset/images/50194.jpg,skip
58372,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Locomotive Men Beige T-shirt,archive/fashion-dataset/images/58372.jpg,0
4361,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Free Authority Men's Melting Times Blue T-shirt,archive/fashion-dataset/images/4361.jpg,0
4319,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,archive/fashion-dataset/images/4319.jpg,0
9961,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men Medals Crew White T-Shirts,archive/fashion-dataset/images/9961.jpg,0
6724,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Locomotive Men's Print Electric Supply Blue T-shirt,archive/fashion-dataset/images/6724.jpg,0
3110,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Probase Men's Western Highway Black T-shirt,archive/fashion-dataset/images/3110.jpg,0
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts,archive/fashion-dataset/images/13966.jpg,0
6272,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Contrast Rib Grey T-shirt,archive/fashion-dataset/images/6272.jpg,0
6066,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Polo Neck Striper Heavy Wash Black Pink T-shirt,archive/fashion-dataset/images/6066.jpg,1
22330,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,John Players Men Stripes White T-Shirt,archive/fashion-dataset/images/22330.jpg,1
37155,Men,Apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirt,archive/fashion-dataset/images/37155.jpg,0
29247,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Sports,ADIDAS Men Lakers Yellow Jersey,archive/fashion-dataset/images/29247.jpg,0
